Date,Number_of_tweet,exchange,open,high,low,close,volume,trade_count,vwap,symbol,nasdaq,spx,Ethereum Market Cap,Next_day_price
2016-08-18,2,CBSE,10.77,10.85,10.71,10.8,5233.325509,718,10.79404463,ETHUSD,5240.15,2187.02,891315247,10.93
2016-08-19,1,CBSE,10.77,11.1,10.7,11.07,8475.065559,1325,10.92023419,ETHUSD,5238.38,2183.87,891164434.8,10.8
2016-08-22,4,CBSE,11.1,11.2,11.1,11.1,3364.618839,369,11.15493304,ETHUSD,5244.6,2182.64,920760944.8,11.3
2016-08-23,3,CBSE,11.18,11.2,10.85,11,29179.0574,3012,11.0004921,ETHUSD,5260.08,2186.9,917054933.5,11.1
2016-08-24,5,CBSE,11.01,11.2,10.99,11.17,5720.737076,560,11.07864822,ETHUSD,5217.69,2175.44,917509231.7,11
2016-08-25,4,CBSE,11.34,11.47,11.3,11.35,7509.85222,672,11.40577,ETHUSD,5212.2,2172.47,944980815,11.17
2016-08-26,1,CBSE,11.34,11.39,11.2,11.28,19805.22409,1620,11.27931788,ETHUSD,5218.92,2169.04,938479976.3,11.35
2016-08-29,1,CBSE,10.95,11.1,10.95,10.97,4176.938191,561,11.02793133,ETHUSD,5232.33,2180.38,910306587.9,11.13
2016-08-30,1,CBSE,11.21,11.25,11.09,11.16,3031.484889,555,11.17586701,ETHUSD,5222.99,2176.12,936081383,10.97
2016-08-31,2,CBSE,11.66,12.25,11.57,12.05,30367.41195,2079,11.92605836,ETHUSD,5213.22,2170.95,960315422.3,11.16
2016-09-01,6,CBSE,12.06,12.5,11.76,12.05,56556.12428,4860,12.19836059,ETHUSD,5227.21,2170.86,1002979070,12.05
2016-09-02,2,CBSE,12.05,12.35,11.95,12.15,32102.03511,3545,12.16375602,ETHUSD,5249.9,2179.98,1010736311,12.05
2016-09-06,1,CBSE,11.75,11.75,11.55,11.7,8596.902949,737,11.64353387,ETHUSD,5275.91,2186.48,978261092.6,11.76
2016-09-07,6,CBSE,11.7,11.9,11.53,11.58,24915.46568,2541,11.66547189,ETHUSD,5283.93,2186.16,967355053.6,11.7
2016-09-08,9,CBSE,11.6,11.7,11.31,11.39,28683.41551,2515,11.44057157,ETHUSD,5259.48,2181.3,949823761.6,11.58
2016-09-09,4,CBSE,11.58,11.69,11.47,11.64,17390.69672,2003,11.59901516,ETHUSD,5125.91,2127.81,974812003.6,11.39
2016-09-12,6,CBSE,11.87,12.06,11.84,11.99,9526.330917,942,11.97187385,ETHUSD,5211.89,2159.04,994145301.6,12.01
2016-09-13,4,CBSE,11.99,12.08,11.87,11.92,19951.40665,3190,11.99869831,ETHUSD,5155.25,2127.02,997422104.4,11.99
2016-09-14,4,CBSE,11.91,12.05,11.91,12.02,4113.544036,413,12.00626698,ETHUSD,5173.77,2125.77,1000350301,11.92
2016-09-15,5,CBSE,11.95,11.99,11.86,11.92,6069.417054,1379,11.93502394,ETHUSD,5249.69,2147.26,999855875.9,12.02
2016-09-16,4,CBSE,12.58,12.76,12.41,12.53,10778.71819,1421,12.58645843,ETHUSD,5244.57,2139.16,1052421113,11.92
2016-09-19,18,CBSE,13.18,13.5,13.1,13.5,24073.67822,1798,13.3264647,ETHUSD,5235.03,2139.12,1107285960,12.64
2016-09-20,15,CBSE,14.98,15.2,14.03,14.85,26990.82132,3194,14.6972477,ETHUSD,5241.35,2139.76,1204332733,13.5
2016-09-21,7,CBSE,13.77,13.77,13.3,13.41,13867.54206,1352,13.45201597,ETHUSD,5295.18,2163.12,1154027780,14.85
2016-09-22,13,CBSE,13.41,13.42,12.33,13.2,55290.96888,6536,12.9324886,ETHUSD,5339.52,2177.18,1114753106,13.41
2016-09-23,2,CBSE,13.37,13.41,13.13,13.23,5682.38667,900,13.26068063,ETHUSD,5305.75,2164.69,1122387372,13.2
2016-09-26,5,CBSE,12.85,13.02,12.85,13,4818.348256,833,12.93735072,ETHUSD,5257.49,2146.1,1081499008,12.97
